Name,displayName,id,Rarity,category,PurchasePrice,Sellingrice,item_description,Type,Target_status,Speed_Rank,Range,Element,value,Usedbuff,Useddebuff,description_item
BluePotion,BluePotion,IH_0101,1,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
BluePotionEx,BluePotionEx,IH_0201,2,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,150,,,
BluePotionNeo,BluePotionNeo,IH_0301,3,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,300,,,
EnagyDrink,EnagyDrink,IH_0102,1,HEAL_ITEM,0,0,,Heal,MP,0,Single,None,50,,,
EnagyDrink,EnagyDrink,IH_0202,2,HEAL_ITEM,0,0,,Heal,MP,0,Single,None,100,,,
EnergyDrinkNeo,EnergyDrinkNeo,IH_0302,3,HEAL_ITEM,0,0,,Heal,MP,0,Single,None,200,,,
Test_Item_1,Test_Item_1,IT_0101,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_2,Test_Item_2,IT_0102,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_3,Test_Item_3,IT_0103,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_4,Test_Item_4,IT_0104,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_5,Test_Item_5,IT_0105,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_6,Test_Item_6,IT_0106,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_7,Test_Item_7,IT_0107,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_8,Test_Item_8,IT_0108,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_9,Test_Item_9,IT_0109,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_10,Test_Item_10,IT_0110,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_11,Test_Item_11,IT_0111,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_12,Test_Item_12,IT_0112,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_13,Test_Item_13,IT_0113,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_14,Test_Item_14,IT_0114,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_15,Test_Item_15,IT_0115,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_16,Test_Item_16,IT_0116,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_17,Test_Item_17,IT_0117,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_18,Test_Item_18,IT_0118,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_19,Test_Item_19,IT_0119,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
Test_Item_20,Test_Item_20,IT_0120,0,HEAL_ITEM,0,0,,Heal,HP,0,Single,None,100,,,
